#SimpleGazeTrackerDataFile
#TRACKER_VERSION,0.11.1
#DATAFORMAT,T,X,Y,P
#RECORDED_EYE,L
#SCREEN_ORIGIN,BottomLeft
#TRACKER_ORIGIN,BottomLeft
#SCREEN_WIDTH,1024
#SCREEN_HEIGHT,768
#DOTS_PER_CENTIMETER_H,24.26
#DOTS_PER_CENTIMETER_V,24.26
#VIEWING_DISTANCE,57.29577951308232
#SACCADE_VELOCITY_THRESHOLD,20.0
#SACCADE_ACCELERATION_THRESHOLD,3800.0
#SACCADE_MINIMUM_DURATION,12
#SACCADE_MINIMUM_AMPLITUDE,0.2
#FIXATION_MINIMUM_DURATION,12
#BLINK_MINIMUM_DURATION,50
#RESAMPLING,0
#FILTER_TYPE,identity
#FILTER_WN,0.2
#FILTER_SIZE,5
#FILTER_ORDER,3
#START_REC,2022,5,19,11,58,49
#MESSAGE,0,starting task
#XPARAM,-56.846563,2.197958,111.087442
#YPARAM,-3.972265,-53.846936,-578.255822
#CALPOINT,0.000000,400.000000,1.927531,-15.991479,3.399345,7.553436
#CALPOINT,-500.000000,400.000000,-22.499285,4.645039,3.388708,3.429773
#CALPOINT,-500.000000,-400.000000,-16.235440,19.209098,2.019176,3.880810
#CALPOINT,500.000000,0.000000,1.419464,-4.190459,12.122211,4.425829
#CALPOINT,500.000000,-400.000000,-27.757188,-1.335725,1.778447,2.575097
#CALPOINT,-500.000000,0.000000,17.951231,-7.347934,1.960459,2.242203
#CALPOINT,500.000000,400.000000,-0.801751,24.109783,4.433199,2.470662
#CALPOINT,0.000000,-400.000000,20.022377,-0.444314,5.287363,6.443448
#CALPOINT,0.000000,0.000000,25.973061,-18.654008,2.219629,7.379614
0.001,NOPUPIL,NOPUPIL,FAIL
3.331,NOPUPIL,NOPUPIL,FAIL
8.860,NOPUPIL,NOPUPIL,FAIL
14.421,NOPUPIL,NOPUPIL,FAIL
19.982,NOPUPIL,NOPUPIL,FAIL
25.546,NOPUPIL,NOPUPIL,FAIL
31.077,NOPUPIL,NOPUPIL,FAIL
36.656,NOPUPIL,NOPUPIL,FAIL
42.211,NOPUPIL,NOPUPIL,FAIL
47.765,NOPUPIL,NOPUPIL,FAIL
53.331,NOPUPIL,NOPUPIL,FAIL
58.871,NOPUPIL,NOPUPIL,FAIL
64.438,-340.5,-545.4,561.6
69.992,-358.2,-460.1,603.9
75.460,-361.1,-386.1,642.8
81.132,-318.3,-302.7,663.2
86.687,-257.7,-239.3,674.1
92.219,-180.9,-183.2,677.2
97.715,-121.0,-118.4,679.1
103.334,-44.8,-62.1,680.0
108.893,-4.5,-37.2,682.8
114.432,51.7,-14.9,684.1
120.028,58.1,-1.5,686.4
125.580,48.2,-12.5,690.4
131.123,36.5,-6.9,692.0
136.698,28.3,0.7,692.5
142.256,49.4,3.4,692.7
147.774,53.7,-2.0,692.8
153.319,53.0,-3.4,693.2
158.881,39.1,-8.1,690.9
164.391,37.2,0.2,691.4
170.029,34.0,-3.6,688.9
175.570,28.9,3.7,691.9
181.101,44.7,8.0,694.0
186.638,46.2,4.2,694.9
192.215,38.3,0.9,692.7
197.773,41.9,4.7,696.2
203.275,36.1,-0.4,694.7
208.870,23.8,3.4,694.0
214.444,26.6,2.6,693.3
220.013,24.0,3.0,697.0
225.588,25.7,-5.1,700.0
231.140,22.4,-5.5,699.9
236.634,20.5,-1.0,702.4
