,Image,Saccade Duration
0,6-Slide2.PNG,182.8930817610063
1,6-Slide3.PNG,185.1387283236994
2,6-Slide4.PNG,164.60176991150442
3,6-Slide2.PNG,61.83730158730159
4,6-Slide3.PNG,82.0
5,6-Slide4.PNG,82.24438202247191
6,6-Slide2.PNG,41.37931034482759
7,6-Slide3.PNG,29.970588235294116
8,6-Slide4.PNG,35.04761904761905
9,6-Slide2.PNG,210.54237288135593
10,6-Slide3.PNG,222.87179487179486
11,6-Slide4.PNG,127.69117647058823
12,6-Slide2.PNG,116.66666666666667
13,6-Slide3.PNG,100.6311475409836
14,6-Slide4.PNG,95.48745519713262
15,6-Slide2.PNG,59.67058823529412
16,6-Slide3.PNG,63.29032258064516
17,6-Slide4.PNG,60.509803921568626
18,6-Slide2.PNG,84.33529411764705
19,6-Slide3.PNG,75.46596858638743
20,6-Slide4.PNG,80.69090909090909
21,6-Slide2.PNG,50.578947368421055
22,6-Slide3.PNG,52.30612244897959
23,6-Slide4.PNG,55.84905660377358
24,6-Slide2.PNG,93.57666666666667
25,6-Slide3.PNG,107.67042253521127
26,6-Slide4.PNG,90.09051724137932
27,6-Slide2.PNG,16.0
28,6-Slide3.PNG,
29,6-Slide4.PNG,124.3173076923077
30,6-Slide2.PNG,205.25
31,6-Slide3.PNG,171.55357142857142
32,6-Slide4.PNG,62.16901408450704
33,6-Slide2.PNG,322.128
34,6-Slide3.PNG,138.50233644859813
35,6-Slide4.PNG,172.33333333333334
36,6-Slide2.PNG,50.94117647058823
37,6-Slide3.PNG,63.28358208955224
38,6-Slide4.PNG,50.73913043478261
39,6-Slide2.PNG,71.025
40,6-Slide3.PNG,61.878787878787875
41,6-Slide4.PNG,73.58620689655173
42,6-Slide2.PNG,65.55172413793103
43,6-Slide3.PNG,59.411764705882355
44,6-Slide4.PNG,80.375
45,6-Slide2.PNG,60.84415584415584
46,6-Slide3.PNG,60.94
47,6-Slide4.PNG,59.86813186813187
48,6-Slide3.PNG,126.41176470588235
49,6-Slide4.PNG,55.294117647058826
50,6-Slide2.PNG,160.1868131868132
51,6-Slide3.PNG,201.02803738317758
52,6-Slide4.PNG,199.57251908396947
